ticker,date,close,daily_return,MA_20,MA_50,volatility
INFY.NS,2025-05-02,1456.5930649551544,,1456.5930649551544,1456.5930649551544,
INFY.NS,2025-05-05,1471.4532464465005,0.010202013073434157,1464.0231557008274,1464.0231557008274,
INFY.NS,2025-05-06,1462.7120452184295,-0.005940522574659268,1463.5861188733616,1463.5861188733616,
INFY.NS,2025-05-07,1456.8844481471906,-0.003984104110094089,1461.9107011918188,1461.9107011918188,
INFY.NS,2025-05-08,1464.654491996011,0.0053333288434112,1462.4594593526572,1462.4594593526572,
INFY.NS,2025-05-09,1457.5642989506216,-0.004840863892566993,1461.6435992856514,1461.6435992856514,
INFY.NS,2025-05-12,1492.8209942326298,0.024188775278998875,1466.0975128495052,1466.0975128495052,
INFY.NS,2025-05-13,1562.7513505672503,0.04684443520340986,1478.1792425642234,1478.1792425642234,
INFY.NS,2025-05-14,1528.75740058924,-0.02175262876315609,1483.7990379003363,1483.7990379003363,
INFY.NS,2025-05-15,1544.1033749720434,0.010038201206344688,1489.8294716075072,1489.8294716075072,
INFY.NS,2025-05-16,1566.2479103864578,0.014341355490409047,1496.7766024055936,1496.7766024055936,
INFY.NS,2025-05-19,1531.1856318206726,-0.022386161432856322,1499.6440215235168,1499.6440215235168,
INFY.NS,2025-05-20,1524.8723866170074,-0.004123108963710931,1501.5846649922469,1501.5846649922469,
INFY.NS,2025-05-21,1522.832797268108,-0.0013375475658158331,1503.1023887262368,1503.1023887262368,
INFY.NS,2025-05-22,1510.7892156499267,-0.00790866971067794,1503.614843854483,1503.614843854483,
INFY.NS,2025-05-23,1505.447258808557,-0.0035358717060153255,1503.7293697891125,1503.7293697891125,
INFY.NS,2025-05-26,1521.5700705826603,0.010709649029394086,1504.7788227769684,1504.7788227769684,
INFY.NS,2025-05-27,1534.4878415209876,0.008489764085186424,1506.4293238183027,1506.4293238183027,
INFY.NS,2025-05-28,1535.556238237006,0.0006962562277192941,1507.962319314024,1507.962319314024,
INFY.NS,2025-05-29,1543.3262208282474,0.005060044300404298,1509.7305143897352,1509.7305143897352,
INFY.NS,2025-05-30,1547.3124739974683,0.00258289732619299,1514.2664848418508,1511.520131513913,
INFY.NS,2025-06-02,1536.4782943781508,-0.00700193387010406,1517.5177372384333,1512.6545934622873,
INFY.NS,2025-06-03,1535.4933708621093,-0.0006410266384141439,1521.1568035206174,1513.6475837840187,
INFY.NS,2025-06-04,1519.7346010168856,-0.010263000898776853,1524.2993111641022,1513.9012095020546,
INFY.NS,2025-06-05,1524.5607331925255,0.003175641439242538,1527.2946232239278,1514.3275904496736,
INFY.NS,2025-06-06,1531.2581829658582,0.004393035729910011,1530.9793174246895,1514.9787670849114,
INFY.NS,2025-06-09,1554.2069160448225,0.014986847635658274,1534.0486135152992,1516.4316614908341,
INFY.NS,2025-06-10,1560.116482612782,0.003802303610254354,1533.9168701175759,1517.9918336737608,
INFY.NS,2025-06-11,1566.1244242034918,0.0038509570648521674,1535.7852212982884,1519.651578174786,
INFY.NS,2025-06-12,1592.6188275892266,0.01691717655141578,1538.2109939291477,1522.0838198219342,
INFY.NS,2025-06-13,1552.2369998927122,-0.0253556136578148,1537.51044840446,1523.0565030500236,0.22450519842649208
INFY.NS,2025-06-16,1575.875214344727,0.015228482798469889,1539.744927530663,1524.7070877779831,0.22652210659564634
INFY.NS,2025-06-17,1596.2630097727385,0.012937442788887976,1543.3144586884496,1526.8754490505514,0.2270994296294731
INFY.NS,2025-06-18,1596.5585788351507,0.00018516313452265898,1547.0007477668019,1528.9249528677456,0.22630295593847957
INFY.NS,2025-06-19,1599.4148737815738,0.001789032350135944,1551.432030673384,1530.9389506081407,0.2262394712294752
INFY.NS,2025-06-20,1594.58871180959,-0.0030174547274111063,1555.8891033234356,1532.7069995304032,0.22574902367971736
INFY.NS,2025-06-23,1576.8601291540897,-0.011117965732606594,1558.6536062520072,1533.9003273580704,0.22020763075444477
